referee,games,yellows,reds,yellows_per_game
S. Allison,2,13,0,6.5
C. Kavanagh,23,119,5,5.173913043478261
T. Robinson,15,77,1,5.133333333333334
S. Barrott,15,76,0,5.066666666666666
J. Brooks,24,115,4,4.791666666666667
T. Bramall,9,42,1,4.666666666666667
D. Bond,8,37,2,4.625
R. Jones,31,142,6,4.580645161290323
P. Bankes,24,109,2,4.541666666666667
D. England,15,68,4,4.533333333333333
J. Gillett,18,81,1,4.5
R. Madley,2,9,1,4.5
S. Hooper,27,121,4,4.481481481481482
C. Pawson,26,116,4,4.461538461538462
A. Madley,24,104,2,4.333333333333333
A. Taylor,37,157,5,4.243243243243243
M. Oliver,34,141,5,4.147058823529412
S. Attwell,26,106,5,4.076923076923077
J. Smith,6,24,2,4.0
P. Tierney,20,79,5,3.95
L. Smith,3,11,1,3.6666666666666665
D. Coote,19,69,1,3.631578947368421
A. Marriner,5,18,0,3.6
M. Salisbury,17,61,2,3.588235294117647
T. Harrington,15,51,1,3.4
G. Scott,5,13,1,2.6
Anthony Taylor,18,67,0,3.7222222222222223
Craig Pawson,12,23,0,1.9166666666666667
Michael Oliver,17,44,0,2.588235294117647
Samuel Barrott,12,48,0,4.0
Robert Jones,13,49,0,3.769230769230769
Jarred Gillett,12,45,0,3.75
Darren England,13,50,0,3.8461538461538463
Peter Bankes,15,64,0,4.266666666666667
Simon Hooper,12,51,0,4.25
Chris Kavanagh,16,63,0,3.9375
Thomas Bramall,12,42,0,3.5
Michael Salisbury,8,39,0,4.875
Tony Harrington,10,31,0,3.1
Stuart Attwell,14,66,0,4.714285714285714
Andy Madley,11,37,0,3.3636363636363638
John Brooks,9,37,0,4.111111111111111
Andrew Kitchen,3,11,0,3.6666666666666665
Tim Robinson,5,26,0,5.2
Thomas Kirk,2,5,0,2.5
Matt Donohue,2,9,0,4.5
Paul Tierney,1,2,0,2.0
